ID|Food Concept|URLs
B000156|SWISS CHEESE|http://purl.obolibrary.org/obo/FOODON_03303659;http://purl.obolibrary.org/obo/ancestro_0394
B000157|SWISS|http://purl.obolibrary.org/obo/hancestro_0394;http://purl.obolibrary.org/obo/ancestro_0394
B000158|COCKTAIL SAUCE|http://purl.obolibrary.org/obo/FOODON_03311146;http://purl.obolibrary.org/obo/FOODON_03307333
B000159|SWEET POTATO|http://purl.obolibrary.org/obo/NCBITaxon_4120;http://purl.obolibrary.org/obo/NCBITaxon_4113
B000160|TOMATO SAUCE|http://purl.obolibrary.org/obo/FOODON_03301217;http://purl.obolibrary.org/obo/FOODON_03311146;http://purl.obolibrary.org/obo/NCBITaxon_4081
B000161|BAGEL|http://purl.obolibrary.org/obo/FOODON_03309554
B000162|TOAST|http://purl.obolibrary.org/obo/FOODON_03306255
B000163|ALUMINUM|http://purl.obolibrary.org/obo/FOODON_03500042
B000164|SEASONING SALT|http://purl.obolibrary.org/obo/FOODON_03306222;http://purl.obolibrary.org/obo/CHEBI_24866
B000165|SALAD|http://purl.obolibrary.org/obo/FOODON_03316042
B000166|MANGO|http://purl.obolibrary.org/obo/NCBITaxon_29780
B000167|WINE VINEGAR|http://purl.obolibrary.org/obo/FOODON_03301228;http://purl.obolibrary.org/obo/FOODON_03301705
B000168|WHITE WINE|http://purl.obolibrary.org/obo/FOODON_03310273
B000169|ICE|http://purl.obolibrary.org/obo/ENVO_01001125;http://purl.obolibrary.org/obo/FOODON_03301926
B000170|MOLASSES|http://purl.obolibrary.org/obo/CHEBI_83163
B000171|JACK|http://purl.obolibrary.org/obo/FOODON_03411044
B000172|SAUSAGE MEAT|http://purl.obolibrary.org/obo/FOODON_03317646
B000173|PASTRY|http://purl.obolibrary.org/obo/FOODON_03315272
B000174|BRIE CHEESE|http://purl.obolibrary.org/obo/FOODON_03303508
B000175|OYSTER|http://purl.obolibrary.org/obo/FOODON_03411224
B000176|CURRY POWDER|http://purl.obolibrary.org/obo/FOODON_03306648;http://purl.obolibrary.org/obo/FOODON_03301842
B000177|PICKLE RELISH|http://purl.obolibrary.org/obo/FOODON_03310480;http://purl.obolibrary.org/obo/FOODON_03304648
B000178|CHILI SAUCE|http://purl.obolibrary.org/obo/FOODON_03311146;http://purl.obolibrary.org/obo/FOODON_03304583
B000179|COTTAGE CHEESE|http://purl.obolibrary.org/obo/FOODON_03301605
B000180|CURD|http://purl.obolibrary.org/obo/FOODON_03420245
B000181|FRESH WATER|http://purl.obolibrary.org/obo/ENVO_00002006;http://purl.obolibrary.org/obo/ENVO_00002011
B000182|MONOSODIUM GLUTAMATE|http://purl.obolibrary.org/obo/CHEBI_64220
B000183|GARLIC IN OIL|http://purl.obolibrary.org/obo/FOODON_03310387;http://purl.obolibrary.org/obo/NCBITaxon_4682;http://purl.obolibrary.org/obo/FOODON_03311708
B000184|HALF AND HALF|http://purl.obolibrary.org/obo/FOODON_03301794
B000185|PEANUT OIL|http://purl.obolibrary.org/obo/FOODON_03309857;http://purl.obolibrary.org/obo/FOODON_03310387;http://purl.obolibrary.org/obo/NCBITaxon_3818
B000186|TENDERLOIN|http://purl.obolibrary.org/obo/FOODON_03530217
B000187|COLBY CHEESE|http://purl.obolibrary.org/obo/FOODON_03303856
B000188|THICKNESS|http://purl.obolibrary.org/obo/PATO_0000915
B000189|QUINOA|http://purl.obolibrary.org/obo/NCBITaxon_63459
B000190|OATS|http://purl.obolibrary.org/obo/NCBITaxon_4498;http://purl.obolibrary.org/obo/FOODON_03315188
B000191|RUSSIAN|http://purl.obolibrary.org/obo/ancestro_0386;http://purl.obolibrary.org/obo/hancestro_0386
B000192|COCONUT MILK|http://purl.obolibrary.org/obo/FOODON_03303084;http://purl.obolibrary.org/obo/UBERON_0001913
B000193|PINEAPPLE|http://purl.obolibrary.org/obo/NCBITaxon_4615
B000194|SEA|http://purl.obolibrary.org/obo/ENVO_00000016
B000195|SOUP MIX|http://purl.obolibrary.org/obo/FOODON_03315571
B000196|HABANERO|http://purl.obolibrary.org/obo/NCBITaxon_80379
B000197|BUFFALO|http://purl.obolibrary.org/obo/FOODON_03411476
B000198|VEGETABLE STOCK|http://purl.obolibrary.org/obo/FOODON_03315835
B000199|RED WINE|http://purl.obolibrary.org/obo/FOODON_03310272
B000200|BROTH|http://purl.obolibrary.org/obo/FOODON_03309462
B000201|OREGANO|http://purl.obolibrary.org/obo/NCBITaxon_39352
B000202|BOUILLON|http://purl.obolibrary.org/obo/FOODON_03301468
B000203|PANCAKE MIX|http://purl.obolibrary.org/obo/FOODON_03315166;http://purl.obolibrary.org/obo/FOODON_03315258
B000204|ONION SOUP MIX|http://purl.obolibrary.org/obo/FOODON_03304821;http://purl.obolibrary.org/obo/FOODON_03309457;http://purl.obolibrary.org/obo/FOODON_03315571
B000205|CHUCK|http://purl.obolibrary.org/obo/FOODON_03530021
