ID|Food Concept|URLs
C000200|EGG YOLK|http://purl.bioontology.org/ontology/SNOMEDCT/256442007
C000201|EGG SUBSTITUTE|http://purl.bioontology.org/ontology/SNOMEDCT/444021000124105
C000202|PROCESSED CHEESE|http://purl.bioontology.org/ontology/SNOMEDCT/226846003;http://purl.bioontology.org/ontology/SNOMEDCT/102264005
C000203|CHEESE SAUCE|http://purl.bioontology.org/ontology/SNOMEDCT/227519005;http://purl.bioontology.org/ontology/SNOMEDCT/102264005;http://purl.bioontology.org/ontology/SNOMEDCT/227522007
C000204|MALT|http://purl.bioontology.org/ontology/SNOMEDCT/710180001
C000205|STRAWBERRIES|http://purl.bioontology.org/ontology/SNOMEDCT/102261002
C000206|RICOTTA CHEESE|http://purl.bioontology.org/ontology/SNOMEDCT/226853007;http://purl.bioontology.org/ontology/SNOMEDCT/102264005
C000207|SANDWICH|http://purl.bioontology.org/ontology/SNOMEDCT/735008002
C000208|FLAXSEED|http://purl.bioontology.org/ontology/SNOMEDCT/710178007
C000209|STRAWBERRY|http://purl.bioontology.org/ontology/SNOMEDCT/102261002
C000210|SCRAMBLED EGG|http://purl.bioontology.org/ontology/SNOMEDCT/226886006
C000211|SEMOLINA|http://purl.bioontology.org/ontology/SNOMEDCT/226732008
C000212|PORRIDGE|http://purl.bioontology.org/ontology/SNOMEDCT/226617008
C000213|CHERRIES|http://purl.bioontology.org/ontology/SNOMEDCT/735248001
C000214|GARAM MASALA|http://purl.bioontology.org/ontology/SNOMEDCT/227399005
C000215|TURMERIC|http://purl.bioontology.org/ontology/SNOMEDCT/227414003
C000216|GLUTEN-FREE FLOUR|http://purl.bioontology.org/ontology/SNOMEDCT/328685004;http://purl.bioontology.org/ontology/SNOMEDCT/63766005
C000217|SOY MILK|http://purl.bioontology.org/ontology/SNOMEDCT/70813002;http://purl.bioontology.org/ontology/SNOMEDCT/226793001
C000218|TOFU|http://purl.bioontology.org/ontology/SNOMEDCT/227365007
C000219|ROAST BEEF|http://purl.bioontology.org/ontology/SNOMEDCT/226925008;http://purl.bioontology.org/ontology/SNOMEDCT/226916002
C000220|COD|http://purl.bioontology.org/ontology/SNOMEDCT/735245003
C000221|RICE MILK|http://purl.bioontology.org/ontology/SNOMEDCT/70813002;http://purl.bioontology.org/ontology/SNOMEDCT/67324005;http://purl.bioontology.org/ontology/SNOMEDCT/443681000124103
C000222|SPELT|http://purl.bioontology.org/ontology/SNOMEDCT/443661000124108
C000223|TAPIOCA|http://purl.bioontology.org/ontology/SNOMEDCT/226733003
C000224|CHARD|http://purl.bioontology.org/ontology/SNOMEDCT/227236003
C000225|PEACH|http://purl.bioontology.org/ontology/SNOMEDCT/735049002
C000226|GRAPEFRUIT JUICE|http://purl.bioontology.org/ontology/SNOMEDCT/129559002;http://purl.bioontology.org/ontology/SNOMEDCT/256315005;http://purl.bioontology.org/ontology/SNOMEDCT/226493000
C000227|COCOA|http://purl.bioontology.org/ontology/SNOMEDCT/901000161107
C000228|RASPBERRIES|http://purl.bioontology.org/ontology/SNOMEDCT/227444000
C000229|CANTALOUPE|http://purl.bioontology.org/ontology/SNOMEDCT/412062008
C000230|GREEN TEA|http://purl.bioontology.org/ontology/SNOMEDCT/412194001;http://purl.bioontology.org/ontology/SNOMEDCT/16313001
C000231|DRINK|http://purl.bioontology.org/ontology/SNOMEDCT/230118003
C000232|WHITE CHOCOLATE|http://purl.bioontology.org/ontology/SNOMEDCT/227612008;http://purl.bioontology.org/ontology/SNOMEDCT/102262009
C000233|COFFEE|http://purl.bioontology.org/ontology/SNOMEDCT/29263009
C000234|GOUDA CHEESE|http://purl.bioontology.org/ontology/SNOMEDCT/226832003;http://purl.bioontology.org/ontology/SNOMEDCT/102264005
C000235|GRAPESEED OIL|http://purl.bioontology.org/ontology/SNOMEDCT/229932003
C000236|POTATO FLOUR|http://purl.bioontology.org/ontology/SNOMEDCT/735053000;http://purl.bioontology.org/ontology/SNOMEDCT/229943006;http://purl.bioontology.org/ontology/SNOMEDCT/63766005
C000237|MUESLI|http://purl.bioontology.org/ontology/SNOMEDCT/226611009
C000238|PINEAPPLE JUICE|http://purl.bioontology.org/ontology/SNOMEDCT/226497004;http://purl.bioontology.org/ontology/SNOMEDCT/129559002;http://purl.bioontology.org/ontology/SNOMEDCT/256313003
C000239|APRICOT|http://purl.bioontology.org/ontology/SNOMEDCT/735214002
C000240|ICE CREAM|http://purl.bioontology.org/ontology/SNOMEDCT/255621006;http://purl.bioontology.org/ontology/SNOMEDCT/227708009
C000241|CIDER|http://purl.bioontology.org/ontology/SNOMEDCT/226025006
C000242|MASHED POTATO|http://purl.bioontology.org/ontology/SNOMEDCT/735053000;http://purl.bioontology.org/ontology/SNOMEDCT/227294002
C000243|VODKA|http://purl.bioontology.org/ontology/SNOMEDCT/226064009
C000244|CLAM|http://purl.bioontology.org/ontology/SNOMEDCT/736030007
